,country,article_name,revision_id,article_quality,population
0,Zambia,Template:ZambiaProvincialMinisters,235107991,,17700000
1,Zambia,Gladys Lundwe,757566606,Stub,17700000
2,Zambia,Mwamba Luchembe,764848643,Stub,17700000
3,Zambia,Thandiwe Banda,768166426,Start,17700000
4,Zambia,Sylvester Chisembele,776082926,C,17700000
5,Zambia,Victoria Kalima,776530837,Start,17700000
6,Zambia,Margaret Mwanakatwe,779747587,Start,17700000
7,Zambia,Nkandu Luo,779747961,Start,17700000
8,Zambia,Susan Nakazwe,779748181,Start,17700000
9,Zambia,Catherine Namugala,779748285,Start,17700000
10,Zambia,Edith Nawakwi,779748522,Start,17700000
11,Zambia,Joyce Nonde-Simukoko,779748628,Start,17700000
12,Zambia,Gladys Nyirongo,779748837,C,17700000
13,Zambia,Vera Tembo,779748931,C,17700000
14,Zambia,Ompie Nkumbula-Lieventhal,790011468,Stub,17700000
15,Zambia,Besnat Jere,791225634,Stub,17700000
16,Zambia,Esther Lungu,792296625,C,17700000
17,Zambia,Inonge Wina,794006130,Start,17700000
18,Zambia,Maureen Mwanawasa,795820299,Start,17700000
19,Zambia,First Lady of Zambia,796467991,Start,17700000
20,Zambia,Jean Kapata,797469872,Start,17700000
21,Zambia,Peter Sinkamba,799512628,Start,17700000
22,Zambia,Gwendoline Konie,803304465,Start,17700000
23,Zambia,Kenneth Kaunda,805875783,C,17700000
24,Zambia,Inonge Mbikusita-Lewanika,805993958,Start,17700000
25,Zambia,Yobert K. Shamapande,806345311,C,17700000
26,Chad,Bir I of Kanem,355319463,Stub,15400000
27,Chad,Abdullah II of Kanem,498683267,Stub,15400000
28,Chad,Salmama II of Kanem,565745353,Stub,15400000
29,Chad,Kuri I of Kanem,565745365,Stub,15400000
30,Chad,Mohammed I of Kanem,565745375,Stub,15400000
31,Chad,Kuri II of Kanem,669719757,Stub,15400000
32,Chad,Bir II of Kanem,670893206,Stub,15400000
33,Chad,Mahamat Hissene,693055898,Stub,15400000
34,Chad,Othman I,705432607,Stub,15400000
35,Chad,Alphonse Kotiga,707593108,Stub,15400000
36,Chad,Oueddei Kichidemi,708346649,Start,15400000
37,Chad,Dunama I,710675092,Stub,15400000
38,Chad,Ahmad (Kanem-Bornu king),711388267,Stub,15400000
39,Chad,Djibrine Kerallah,712971263,Stub,15400000
40,Chad,Maurice Ngangtar,712971315,Stub,15400000
41,Chad,Idriss Miskine,712971738,Stub,15400000
42,Chad,Laoukein Kourayo Médard,716886170,Stub,15400000
43,Chad,Nadji Madou,716886788,Stub,15400000
44,Chad,Noël Milarew Odingar,716891799,Start,15400000
45,Chad,Yaya Dillo Djérou,717733209,Stub,15400000
46,Chad,Acheikh Ibn-Oumar,719821590,Start,15400000
47,Chad,Quatre Sou Quatre,720066754,Stub,15400000
48,Chad,Ali Gazi,722563340,Stub,15400000
49,Chad,Mahamat Djarma Khatir,725132042,Stub,15400000
50,Chad,Dunama IX Lefiami,731749611,Stub,15400000
51,Chad,Dawud of Kanem,736550266,Stub,15400000
52,Chad,Ahmed Koulamallah,738855197,Start,15400000
53,Chad,Abbo Nassour,741369486,B,15400000
54,Chad,Abdel Kader Baba-Laddé,742213176,Stub,15400000
55,Chad,Hummay,747271475,Stub,15400000
56,Chad,Ngarlejy Yorongar,751304544,C,15400000
57,Chad,Saleh Kezabo,751380073,Stub,15400000
58,Chad,Bourkou Louise Kabo,757072468,Start,15400000
59,Chad,Brahim Koulamallah,757802238,Stub,15400000
60,Chad,Saadie Goukouni Weddeye,757842614,Start,15400000
61,Chad,Mahamoud Adam Béchir,762579466,Start,15400000
62,Chad,Kalthouma Nguembang,762816132,Stub,15400000
63,Chad,Djidingar Dono Ngardoum,764133533,Stub,15400000
64,Chad,Template:ChadPMs,768123377,Stub,15400000
65,Chad,Template:ChadPres,770535091,Stub,15400000
